;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
140;3.0;대졸이상;경상남도;4300;기간의정함이있는근로계약;주5일근무;식사제공(1식);한신정보;컴퓨터및주변장치,소프트웨어소매업;중소기업;2000;800백만원;www.hsinfo.co.kr;20
141;3.0;학력무관;경상남도;3750;기간의정함이있는근로계약;주5일근무;차량유지비제공식사제공(1식);아이브이티코리아;그외기타특수목적용기계제조업;중소기업;2019;;-;6
142;3.0;대졸이상;경기도;4600;기간의정함이없는근로계약;주5일근무;;피스페이스;기타정보기술및컴퓨터운영관련서비스업;중소기업;2004;2,100백만원;pspace.co.kr;13
143;3.0;대졸이상;경기도;4600;기간의정함이없는근로계약;주5일근무;교육비제공주택자금지원직원대출제도;피스페이스;기타정보기술및컴퓨터운영관련서비스업;중소기업;2004;2,100백만원;pspace.co.kr;13
144;5.0;대졸이상;경기도;4700;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);지이티에스;디스플레이제조용기계제조업;;0;;globalets.co.kr/;8
145;3.0;대졸이상;경기도;4500;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(1식);우리테크인터내셔날;응용소프트웨어개발및공급업;중소기업;2010;2,000백만원;www.realgrid.com;20
146;5.0;대졸이상;서울특별시;7000;기간의정함이있는근로계약;주5일근무;식사제공(1식);마바산업;그외기타달리분류되지않은제품제조업;중소기업;2015;9,384백만원;www.mabadesign.co.kr;41
147;3.0;대졸이상;경상북도;3000;기간의정함이없는근로계약;주5일근무;;코러싱;전동기,발전기및전기변환장치제조업;중소기업;2013;2,100백만원;chorusing.net;32
148;3.0;학력무관;서울특별시;4750;기간의정함이없는근로계약;주5일근무;;티파이브온라인;응용소프트웨어개발및공급업;중소기업;2011;17,000백만원;www.t5online.com;7
149;3.0;대졸이상;경기도;4250;기간의정함이없는근로계약;주5일근무;식사제공(1식);제로원;의료,정밀,광학기기및시계제조업;중소기업;2001;5,000백만원;www.01zeus.com;25
150;10.0;학력무관;경기도;6000;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(3식);코리아인더스;그외기타특수목적용기계제조업;중소기업;2019;2,000백만원;-;23
151;4.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;;미르넷솔루션;소프트웨어개발및공급업;중소기업;2008;;http://;4
152;5.0;학력무관;경기도;5750;기간의정함이없는근로계약;주5일근무;;인터비젼;컴퓨터프로그래밍서비스업;중소기업;2021;459백만원;https://www.intervision.kr/;16
153;3.0;대졸이상;대전광역시;5100;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(1식);케이에스에프;농업및임업용기계제조업;;0;4,000백만원;http://www.xmell.co.kr/;9
154;5.0;학력무관;대구광역시;5750;기간의정함이없는근로계약;주5일근무;;인터비젼;컴퓨터프로그래밍서비스업;중소기업;2021;459백만원;https://www.intervision.kr/;16
155;5.0;학력무관;인천광역시;5300;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(중식비지급);위코리아;기타전문서비스업;중소기업;2021;;-;8
156;3.0;대졸이상;경상남도;3200;기간의정함이없는근로계약;주5일근무;식사제공(1식);하이데이타;컴퓨터시스템통합자문및구축서비스업;중소기업;0;5,000백만원;-;50
157;5.0;학력무관;서울특별시;4800;기간의정함이없는근로계약;주5일근무;;파인더솔루션;유선온라인게임소프트웨어개발및공급업;;0;5백만원;-;1
158;7.0;학력무관;경상남도;5000;기간의정함이없는근로계약;주5일근무;식사제공(1식);두루소프트;컴퓨터프로그래밍서비스업;중소기업;2017;;www.duroosoft.co.kr;6
159;3.0;대졸이상;경기도;4250;기간의정함이없는근로계약;주5일근무;;이지원;시스템소프트웨어개발및공급업;중소기업;2016;130백만원;ezonehrd.co.kr;20
160;3.0;고졸이상;강원특별자치도;2600;기간의정함이없는근로계약;주5일근무;기숙사제공교육비제공;코아맥스테크놀로지;컴퓨터시스템통합자문및구축서비스업;중소기업;2009;4,200백만원;www.coremaxtech.com;20
